144 66
3 6
3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 2 2 3 3 2 2 1 1 3 2 1 2 2 2 2 2 2 3 3 2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 2 2 3 3 2 2 2 2 3 3 3 3 3 3 3 3 2 1 2 3 2 1 1 1 2 3 
6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 
4	7	13	
5	8	14	
6	9	15	
1	10	16	
2	11	17	
3	12	18	
10	13	19	
11	14	20	
12	15	21	
7	16	22	
8	17	23	
9	18	24	
16	19	25	
17	20	26	
18	21	27	
13	22	28	
14	23	29	
15	24	30	
22	25	31	
23	26	32	
24	27	33	
19	28	34	
20	29	35	
21	30	36	
28	31	37	
29	32	38	
30	33	39	
25	34	40	
26	35	41	
27	36	42	
34	37	43	
35	38	44	
36	39	45	
31	40	46	
32	41	47	
33	42	48	
40	43	49	
41	44	50	
42	45	51	
37	46	52	
38	47	53	
39	48	54	
46	49	55	
47	50	56	
48	51	57	
43	52	58	
44	53	59	
45	54	60	
52	55	61	
53	56	62	
54	57	63	
49	58	64	
50	59	0	
51	60	0	
58	61	65	
59	62	66	
60	63	0	
55	64	0	
56	0	0	
57	0	0	
1	64	65	
2	66	0	
3	0	0	
4	61	0	
5	62	0	
6	63	0	
1	7	0	
2	8	0	
3	9	0	
4	10	65	
5	11	66	
6	12	0	
2	3	19	
3	4	20	
4	5	21	
5	6	22	
1	6	23	
1	2	24	
8	9	25	
9	10	26	
10	11	27	
11	12	28	
7	12	29	
7	8	30	
14	15	31	
15	16	32	
16	17	33	
17	18	34	
13	18	35	
13	14	36	
20	21	37	
21	22	38	
22	23	39	
23	24	40	
19	24	41	
19	20	42	
26	27	43	
27	28	44	
28	29	45	
29	30	46	
25	30	47	
25	26	48	
32	33	49	
33	34	50	
34	35	51	
35	36	52	
31	36	53	
31	32	54	
38	39	55	
39	40	56	
40	41	57	
41	42	58	
37	42	59	
37	38	60	
44	45	61	
45	46	62	
46	47	63	
47	48	64	
43	48	0	
43	44	0	
50	51	65	
51	52	66	
52	53	0	
53	54	0	
49	54	0	
49	50	0	
1	56	57	
2	57	58	
3	58	59	
4	59	60	
5	55	60	
6	55	56	
7	62	63	
8	63	64	
9	64	0	
10	0	0	
11	61	0	
12	61	62	
13	66	0	
14	0	0	
15	0	0	
16	0	0	
17	65	0	
18	65	66	
4	61	67	77	78	127	
5	62	68	73	78	128	
6	63	69	73	74	129	
1	64	70	74	75	130	
2	65	71	75	76	131	
3	66	72	76	77	132	
1	10	67	83	84	133	
2	11	68	79	84	134	
3	12	69	79	80	135	
4	7	70	80	81	136	
5	8	71	81	82	137	
6	9	72	82	83	138	
1	7	16	89	90	139	
2	8	17	85	90	140	
3	9	18	85	86	141	
4	10	13	86	87	142	
5	11	14	87	88	143	
6	12	15	88	89	144	
7	13	22	73	95	96	
8	14	23	74	91	96	
9	15	24	75	91	92	
10	16	19	76	92	93	
11	17	20	77	93	94	
12	18	21	78	94	95	
13	19	28	79	101	102	
14	20	29	80	97	102	
15	21	30	81	97	98	
16	22	25	82	98	99	
17	23	26	83	99	100	
18	24	27	84	100	101	
19	25	34	85	107	108	
20	26	35	86	103	108	
21	27	36	87	103	104	
22	28	31	88	104	105	
23	29	32	89	105	106	
24	30	33	90	106	107	
25	31	40	91	113	114	
26	32	41	92	109	114	
27	33	42	93	109	110	
28	34	37	94	110	111	
29	35	38	95	111	112	
30	36	39	96	112	113	
31	37	46	97	119	120	
32	38	47	98	115	120	
33	39	48	99	115	116	
34	40	43	100	116	117	
35	41	44	101	117	118	
36	42	45	102	118	119	
37	43	52	103	125	126	
38	44	53	104	121	126	
39	45	54	105	121	122	
40	46	49	106	122	123	
41	47	50	107	123	124	
42	48	51	108	124	125	
43	49	58	109	131	132	
44	50	59	110	127	132	
45	51	60	111	127	128	
46	52	55	112	128	129	
47	53	56	113	129	130	
48	54	57	114	130	131	
49	55	64	115	137	138	
50	56	65	116	133	138	
51	57	66	117	133	134	
52	58	61	118	134	135	
55	61	70	121	143	144	
56	62	71	122	139	144	
